,index,League,Season,Home_Team,Away_Team,Home_Goals,Away_Goals,Home_FH,Away_FH,Home_Win,Draw,Away_Win,Over_2_5,Under_2_5,Code_1,Code_2,Total_Goals,FH_Goals,Winner,HT_Winner
60,12951,Spa1,20,Villarreal,Betis,5,1,1,0,1790.0,3950.0,4550.0,1610,2440,3020,3002,6,1,H,H
61,12952,Spa1,20,Atletico,Real Madrid,0,0,0,0,2370.0,3330.0,3260.0,2070,1830,3003,3010,0,0,D,D
62,12953,Spa1,20,Bilbao,Valencia,0,1,0,1,2070.0,3200.0,4300.0,2500,1580,3008,3019,1,1,A,A
63,12954,Spa1,20,Getafe,Barcelona,0,2,0,1,3940.0,3300.0,2120.0,2320,1670,3012,3018,2,1,A,A
64,12955,Spa1,20,Granada,Leganes,1,0,1,0,2590.0,2950.0,3290.0,3130,1400,3033,3067,1,1,H,H
65,12956,Spa1,20,Espanyol,Valladolid,0,2,0,1,2160.0,3200.0,3940.0,2400,1630,3005,3028,2,1,A,A
66,12957,Spa1,20,FC Sevilla,Real Sociedad,3,2,1,1,2040.0,3460.0,4020.0,1930,1970,3013,3015,5,2,H,D
67,12958,Spa1,20,Levante,Osasuna,1,1,1,0,2330.0,3450.0,3210.0,1930,1970,3016,3007,2,1,D,H
68,12959,Spa1,20,Alaves,Mallorca,2,0,0,0,2430.0,3010.0,3500.0,2740,1500,3021,3009,2,0,H,D
69,12960,Spa1,20,Eibar,Celta Vigo,2,0,0,0,2280.0,3350.0,3410.0,2090,1810,3039,3022,2,0,H,D
70,12961,Spa1,20,Betis,Eibar,1,1,0,1,1990.0,3630.0,4010.0,1810,2100,3002,3039,2,1,D,A
71,12962,Spa1,20,Osasuna,Villarreal,2,1,0,1,2640.0,3270.0,2900.0,2020,1880,3007,3020,3,1,H,A
72,12963,Spa1,20,Real Madrid,Granada,4,2,2,0,1280.0,6060.0,10990.0,1530,2630,3010,3033,6,2,H,H
73,12964,Spa1,20,Valencia,Alaves,2,1,1,0,1560.0,4110.0,6800.0,2120,1790,3019,3021,3,1,H,H
74,12965,Spa1,20,Leganes,Levante,1,2,0,1,2040.0,3470.0,4010.0,2000,1890,3067,3016,3,1,A,A
75,12966,Spa1,20,Mallorca,Espanyol,2,0,1,0,2580.0,3150.0,3090.0,2400,1630,3009,3005,2,1,H,H
76,12967,Spa1,20,Real Sociedad,Getafe,1,2,1,0,2190.0,3200.0,3830.0,2340,1650,3015,3012,3,1,A,H
77,12968,Spa1,20,Barcelona,FC Sevilla,4,0,3,0,1450.0,4750.0,7380.0,1490,2780,3018,3013,4,3,H,H
78,12969,Spa1,20,Celta Vigo,Bilbao,1,0,0,0,2370.0,3050.0,3580.0,2580,1550,3022,3008,1,0,H,D
79,12970,Spa1,20,Valladolid,Atletico,0,0,0,0,6020.0,3580.0,1700.0,2460,1600,3028,3003,0,0,D,D
80,12971,Spa1,20,Granada,Osasuna,1,0,1,0,2530.0,3010.0,3310.0,2800,1480,3033,3007,1,1,H,H
81,12972,Spa1,20,Atletico,Valencia,1,1,1,0,1590.0,3810.0,7080.0,2300,1680,3003,3019,2,1,D,H
82,12973,Spa1,20,Mallorca,Real Madrid,1,0,1,0,6310.0,4510.0,1530.0,1540,2600,3009,3010,1,1,H,H
83,12974,Spa1,20,Getafe,Leganes,2,0,0,0,2290.0,2870.0,4080.0,3190,1390,3012,3067,2,0,H,D
84,12975,Spa1,20,Eibar,Barcelona,0,3,0,1,6500.0,4790.0,1490.0,1600,2470,3039,3018,3,1,A,A
85,12976,Spa1,20,Espanyol,Villarreal,0,1,0,1,3090.0,3400.0,2430.0,1880,2020,3005,3020,1,1,A,A
86,12977,Spa1,20,Bilbao,Valladolid,1,1,1,0,1810.0,3300.0,5700.0,2620,1530,3008,3028,2,1,D,H
87,12978,Spa1,20,FC Sevilla,Levante,1,0,0,0,1310.0,5990.0,9490.0,1380,3210,3013,3016,1,0,H,D
88,12979,Spa1,20,Real Sociedad,Betis,3,1,2,1,1740.0,4050.0,4740.0,1630,2390,3015,3002,4,3,H,H
89,12980,Spa1,20,Alaves,Celta Vigo,2,0,0,0,2960.0,3010.0,2790.0,2750,1490,3021,3022,2,0,H,D
90,12981,Spa1,20,Villarreal,Alaves,4,1,1,0,1580.0,4160.0,6330.0,2060,1840,3020,3021,5,1,H,H
91,12982,Spa1,20,Atletico,Bilbao,2,0,1,0,1680.0,3480.0,6790.0,2890,1450,3003,3008,2,1,H,H
92,12983,Spa1,20,Valladolid,Eibar,2,0,2,0,2680.0,3080.0,3010.0,2420,1620,3028,3039,2,2,H,H
93,12984,Spa1,20,Leganes,Mallorca,1,0,1,0,1720.0,3500.0,6060.0,2650,1530,3067,3009,1,1,H,H
94,12985,Spa1,20,Osasuna,Valencia,3,1,1,1,2740.0,3170.0,2870.0,2130,1780,3007,3019,4,2,H,D
95,12986,Spa1,20,FC Sevilla,Getafe,2,0,0,0,1760.0,3570.0,5430.0,2200,1740,3013,3012,2,0,H,D
96,12987,Spa1,20,Levante,Espanyol,0,1,0,1,2370.0,3470.0,3140.0,1900,2000,3016,3005,1,1,A,A
97,12988,Spa1,20,Celta Vigo,Real Sociedad,0,1,0,0,2650.0,3300.0,2870.0,2040,1860,3022,3015,1,0,A,D
98,12989,Spa1,20,Granada,Betis,1,0,0,0,2460.0,3260.0,3150.0,2230,1720,3033,3002,1,0,H,D
99,12990,Spa1,20,Barcelona,Valladolid,5,1,3,1,1120.0,10380.0,25460.0,1340,3460,3018,3028,6,4,H,H
100,12991,Spa1,20,Alaves,Atletico,1,1,0,0,4890.0,3170.0,1970.0,2900,1450,3021,3003,2,0,D,D
101,12992,Spa1,20,Betis,Celta Vigo,2,1,1,0,2240.0,3500.0,3350.0,1740,2190,3002,3022,3,1,H,H
102,12993,Spa1,20,Bilbao,Espanyol,3,0,2,0,1880.0,3310.0,5140.0,2890,1450,3008,3005,3,2,H,H
103,12994,Spa1,20,Real Madrid,Leganes,5,0,3,0,1260.0,6070.0,12660.0,1760,2160,3010,3067,5,3,H,H
104,12995,Spa1,20,Real Sociedad,Levante,1,2,0,2,1550.0,4430.0,6170.0,1540,2600,3015,3016,3,2,A,A
105,12996,Spa1,20,Valencia,FC Sevilla,1,1,0,1,3270.0,3390.0,2330.0,2100,1810,3019,3013,2,1,D,A
106,12997,Spa1,20,Mallorca,Osasuna,2,2,1,0,2580.0,3100.0,3130.0,2540,1560,3009,3007,4,1,D,H
107,12998,Spa1,20,Getafe,Granada,3,1,2,0,1780.0,3280.0,6040.0,2970,1430,3012,3033,4,2,H,H
108,12999,Spa1,20,Eibar,Villarreal,2,1,0,0,2430.0,3470.0,3030.0,1880,2020,3039,3020,3,0,H,D
109,13000,Spa1,20,Espanyol,Valencia,1,2,1,0,2550.0,3140.0,3140.0,2410,1620,3005,3019,3,1,A,H
110,13001,Spa1,20,Real Madrid,Betis,0,0,0,0,1230.0,7370.0,12100.0,1290,3820,3010,3002,0,0,D,D
111,13002,Spa1,20,FC Sevilla,Atletico,1,1,1,0,2460.0,3100.0,3330.0,2550,1560,3013,3003,2,1,D,H
112,13003,Spa1,20,Levante,Barcelona,3,1,0,1,8390.0,7770.0,1270.0,1260,4100,3016,3018,4,1,H,A
113,13004,Spa1,20,Osasuna,Alaves,4,2,3,1,1810.0,3540.0,5120.0,2240,1710,3007,3021,6,4,H,H
114,13005,Spa1,20,Villarreal,Bilbao,0,0,0,0,2120.0,3300.0,3930.0,2250,1700,3020,3008,0,0,D,D
115,13006,Spa1,20,Celta Vigo,Getafe,0,1,0,1,2410.0,3150.0,3370.0,2450,1600,3022,3012,1,1,A,A
116,13007,Spa1,20,Valladolid,Mallorca,3,0,1,0,1960.0,3330.0,4600.0,2720,1510,3028,3009,3,1,H,H
117,13008,Spa1,20,Granada,Real Sociedad,1,2,1,1,2760.0,3130.0,2880.0,2490,1580,3033,3015,3,2,A,D
118,13009,Spa1,20,Leganes,Eibar,1,2,1,1,2210.0,3040.0,4040.0,2720,1500,3067,3039,3,2,A,D
119,13010,Spa1,20,Real Sociedad,Leganes,1,1,0,0,1880.0,3330.0,5120.0,2440,1610,3015,3067,2,0,D,D
120,13011,Spa1,20,Barcelona,Celta Vigo,4,1,2,1,1190.0,7890.0,14570.0,1440,2960,3018,3022,5,3,H,H
121,13012,Spa1,20,Valencia,Granada,2,0,0,0,1660.0,3760.0,6050.0,2160,1760,3019,3033,2,0,H,D
122,13013,Spa1,20,Alaves,Valladolid,3,0,2,0,2470.0,3000.0,3440.0,2860,1460,3021,3028,3,2,H,H
123,13014,Spa1,20,Eibar,Real Madrid,0,4,0,3,5360.0,4310.0,1630.0,1650,2350,3039,3010,4,3,A,A
124,13015,Spa1,20,Betis,FC Sevilla,1,2,1,1,4010.0,3510.0,2020.0,1810,2100,3002,3013,3,2,A,D
125,13016,Spa1,20,Atletico,Espanyol,3,1,1,1,1470.0,4060.0,9270.0,2530,1570,3003,3005,4,2,H,D
126,13017,Spa1,20,Bilbao,Levante,2,1,0,1,1630.0,3980.0,6000.0,2000,1890,3008,3016,3,1,H,A
127,13018,Spa1,20,Mallorca,Villarreal,3,1,2,0,3670.0,3400.0,2160.0,1990,1910,3009,3020,4,2,H,H
128,13019,Spa1,20,Getafe,Osasuna,0,0,0,0,1850.0,3320.0,5310.0,2630,1530,3012,3007,0,0,D,D
129,13020,Spa1,20,Levante,Mallorca,2,1,0,0,1870.0,3650.0,4520.0,1900,2000,3016,3009,3,0,H,D
130,13021,Spa1,20,Betis,Valencia,2,1,1,1,2370.0,3690.0,2970.0,1680,2290,3002,3019,3,2,H,D
131,13022,Spa1,20,Real Madrid,Real Sociedad,3,1,1,1,1370.0,5380.0,8370.0,1450,2890,3010,3015,4,2,H,D
132,13023,Spa1,20,Granada,Atletico,1,1,0,0,5360.0,3250.0,1870.0,2900,1450,3033,3003,2,0,D,D
133,13024,Spa1,20,Leganes,Barcelona,1,2,1,0,5440.0,4100.0,1650.0,2000,1900,3067,3018,3,1,A,H
134,13025,Spa1,20,Espanyol,Getafe,1,1,1,1,3060.0,2790.0,2900.0,3090,1410,3005,3012,2,2,D,D
135,13026,Spa1,20,Osasuna,Bilbao,1,2,0,1,2820.0,3020.0,2900.0,2700,1510,3007,3008,3,1,A,A
136,13027,Spa1,20,Villarreal,Celta Vigo,1,3,0,0,1780.0,3860.0,4730.0,1730,2200,3020,3022,4,0,A,D
137,13028,Spa1,20,Valladolid,FC Sevilla,0,1,0,1,4680.0,3810.0,1810.0,2100,1810,3028,3013,1,1,A,A
138,13029,Spa1,20,Eibar,Alaves,0,2,0,0,1920.0,3430.0,4640.0,2360,1650,3039,3021,2,0,A,D
139,13030,Spa1,20,Celta Vigo,Valladolid,0,0,0,0,1710.0,3710.0,5640.0,2410,1620,3022,3028,0,0,D,D
140,13031,Spa1,20,Mallorca,Betis,1,2,0,2,2890.0,3200.0,2690.0,2060,1840,3009,3002,3,2,A,A
141,13032,Spa1,20,Real Sociedad,Eibar,4,1,1,1,1750.0,3840.0,4990.0,2040,1860,3015,3039,5,2,H,D
142,13033,Spa1,20,Valencia,Villarreal,2,1,0,0,2050.0,3760.0,3640.0,1660,2340,3019,3020,3,0,H,D
143,13034,Spa1,20,Alaves,Real Madrid,1,2,0,0,7460.0,4850.0,1440.0,1630,2390,3021,3010,3,0,A,D
144,13035,Spa1,20,Atletico,Barcelona,0,1,0,0,2890.0,3210.0,2690.0,2220,1720,3003,3018,1,0,A,D
145,13036,Spa1,20,Espanyol,Osasuna,2,4,1,0,2370.0,3200.0,3400.0,2290,1680,3005,3007,6,1,A,H
146,13037,Spa1,20,Bilbao,Granada,2,0,1,0,1800.0,3360.0,5650.0,2790,1480,3008,3033,2,1,H,H
147,13038,Spa1,20,Getafe,Levante,4,0,0,0,1720.0,3630.0,5720.0,2070,1830,3012,3016,4,0,H,D
148,13039,Spa1,20,FC Sevilla,Leganes,1,0,0,0,1490.0,4100.0,8430.0,2300,1680,3013,3067,1,0,H,D
149,13040,Spa1,20,Villarreal,Atletico,0,0,0,0,3830.0,3360.0,2120.0,2240,1710,3020,3003,0,0,D,D
150,13041,Spa1,20,Real Madrid,Espanyol,2,0,1,0,1210.0,6990.0,16090.0,1480,2780,3010,3005,2,1,H,H
151,13042,Spa1,20,Levante,Valencia,2,4,2,1,3550.0,3850.0,2050.0,1580,2510,3016,3019,6,3,A,H
152,13043,Spa1,20,Barcelona,Mallorca,5,2,4,1,1110.0,10920.0,28530.0,1310,3690,3018,3009,7,5,H,H
153,13044,Spa1,20,Granada,Alaves,3,0,0,0,2510.0,2970.0,3400.0,2960,1440,3033,3021,3,0,H,D
154,13045,Spa1,20,Betis,Bilbao,3,2,3,1,2440.0,3140.0,3320.0,2330,1660,3002,3008,5,4,H,H
155,13046,Spa1,20,Osasuna,FC Sevilla,1,1,1,1,3450.0,3480.0,2210.0,1930,1970,3007,3013,2,2,D,D
156,13047,Spa1,20,Valladolid,Real Sociedad,0,0,0,0,3220.0,3250.0,2430.0,2350,1650,3028,3015,0,0,D,D
157,13048,Spa1,20,Eibar,Getafe,0,1,0,0,2990.0,2900.0,2850.0,2850,1470,3039,3012,1,0,A,D
158,13049,Spa1,20,Leganes,Celta Vigo,3,2,2,0,2750.0,2960.0,3050.0,3190,1390,3067,3022,5,2,H,H
159,13050,Spa1,20,Alaves,Leganes,1,1,0,1,2490.0,2970.0,3430.0,3140,1400,3021,3067,2,1,D,A
160,13051,Spa1,20,Atletico,Osasuna,2,0,0,0,1430.0,4500.0,9000.0,2080,1820,3003,3007,2,0,H,D
161,13052,Spa1,20,Bilbao,Eibar,0,0,0,0,1740.0,3510.0,5850.0,2300,1610,3008,3039,0,0,D,D
162,13053,Spa1,20,Real Sociedad,Barcelona,2,2,1,1,5270.0,4430.0,1620.0,1550,2580,3015,3018,4,2,D,D
163,13054,Spa1,20,Granada,Levante,1,2,0,0,2070.0,3640.0,3700.0,1940,1960,3033,3016,3,0,A,D
164,13055,Spa1,20,Espanyol,Betis,2,2,2,1,2630.0,3310.0,2880.0,2080,1820,3005,3002,4,3,D,H
165,13056,Spa1,20,Getafe,Valladolid,2,0,1,0,1710.0,3440.0,6440.0,2750,1500,3012,3028,2,1,H,H
166,13057,Spa1,20,FC Sevilla,Villarreal,1,2,0,1,1580.0,4290.0,5940.0,1760,2170,3013,3020,3,1,A,A
167,13058,Spa1,20,Valencia,Real Madrid,1,1,0,0,4260.0,3980.0,1830.0,1620,2420,3019,3010,2,0,D,D
168,13059,Spa1,20,Celta Vigo,Mallorca,2,2,1,1,1590.0,4150.0,6200.0,1940,1960,3022,3009,4,2,D,D
169,13060,Spa1,20,Barcelona,Real Madrid,0,0,0,0,1700.0,4270.0,4790.0,1440,2930,3018,3010,0,0,D,D
170,13061,Spa1,20,Eibar,Granada,3,0,2,0,1960.0,3320.0,4570.0,2570,1550,3039,3033,3,2,H,H
171,13062,Spa1,20,Mallorca,FC Sevilla,0,2,0,1,5970.0,4050.0,1610.0,1870,2030,3009,3013,2,1,A,A
172,13063,Spa1,20,Barcelona,Alaves,4,1,2,0,1120.0,9820.0,23270.0,1310,3600,3018,3021,5,2,H,H
173,13064,Spa1,20,Villarreal,Getafe,1,0,0,0,2480.0,3120.0,3230.0,2350,1650,3020,3012,1,0,H,D
174,13065,Spa1,20,Valladolid,Valencia,1,1,0,0,3520.0,3380.0,2200.0,2260,1700,3028,3019,2,0,D,D
175,13066,Spa1,20,Betis,Atletico,1,2,0,0,4170.0,3500.0,1980.0,2140,1780,3002,3003,3,0,A,D
176,13067,Spa1,20,Osasuna,Real Sociedad,3,4,1,3,3170.0,3450.0,2340.0,1850,2040,3007,3015,7,4,A,A
177,13068,Spa1,20,Real Madrid,Bilbao,0,0,0,0,1330.0,5400.0,10000.0,1630,2390,3010,3008,0,0,D,D
178,13069,Spa1,20,Levante,Celta Vigo,3,1,0,1,2640.0,3540.0,2680.0,1760,2160,3016,3022,4,1,H,A
179,13070,Spa1,20,Leganes,Espanyol,2,0,1,0,2130.0,3030.0,4270.0,3020,1420,3067,3005,2,1,H,H
180,13071,Spa1,20,FC Sevilla,Bilbao,1,1,0,1,1690.0,3650.0,5890.0,2400,1630,3013,3008,2,1,D,A
181,13072,Spa1,20,Valladolid,Leganes,2,2,1,2,2900.0,2850.0,2950.0,3230,1380,3028,3067,4,3,D,A
182,13073,Spa1,20,Atletico,Levante,2,1,2,1,1230.0,6310.0,15150.0,1610,2440,3003,3016,3,3,H,H
183,13074,Spa1,20,Espanyol,Barcelona,2,2,1,0,7920.0,5650.0,1360.0,1710,2240,3005,3018,4,1,D,H
184,13075,Spa1,20,Getafe,Real Madrid,0,3,0,1,4350.0,3450.0,1960.0,2230,1720,3012,3010,3,1,A,A
185,13076,Spa1,20,Valencia,Eibar,1,0,1,0,1640.0,4000.0,5720.0,1880,2010,3019,3039,1,1,H,H
186,13077,Spa1,20,Real Sociedad,Villarreal,1,2,1,0,1860.0,3990.0,4080.0,1600,2460,3015,3020,3,1,A,H
187,13078,Spa1,20,Alaves,Betis,1,1,1,0,2710.0,3280.0,2780.0,2090,1810,3021,3002,2,1,D,H
188,13079,Spa1,20,Celta Vigo,Osasuna,1,1,0,0,2070.0,3630.0,3650.0,1930,1970,3022,3007,2,0,D,D
189,13080,Spa1,20,Granada,Mallorca,1,0,1,0,1850.0,3610.0,4630.0,2260,1690,3033,3009,1,1,H,H
190,13081,Spa1,20,Leganes,Getafe,0,3,0,3,2950.0,2790.0,2970.0,3420,1350,3067,3012,3,3,A,A
191,13082,Spa1,20,Osasuna,Valladolid,0,0,0,0,1910.0,3420.0,4640.0,2390,1630,3007,3028,0,0,D,D
192,13083,Spa1,20,Real Madrid,FC Sevilla,2,1,0,0,1650.0,4050.0,5560.0,1830,2070,3010,3013,3,0,H,D
193,13084,Spa1,20,Levante,Alaves,0,1,0,0,2160.0,3440.0,3580.0,1890,2010,3016,3021,1,0,A,D
194,13085,Spa1,20,Eibar,Atletico,2,0,1,0,4930.0,3700.0,1780.0,2360,1650,3039,3003,2,1,H,H
195,13086,Spa1,20,Betis,Real Sociedad,3,0,2,0,2340.0,3660.0,3010.0,1700,2250,3002,3015,3,2,H,H
196,13087,Spa1,20,Bilbao,Celta Vigo,1,1,0,0,1960.0,3260.0,4680.0,2570,1560,3008,3022,2,0,D,D
197,13088,Spa1,20,Mallorca,Valencia,4,1,3,0,3060.0,3510.0,2370.0,2040,1860,3009,3019,5,3,H,H
198,13089,Spa1,20,Barcelona,Granada,1,0,0,0,1140.0,8820.0,22930.0,1340,3500,3018,3033,1,0,H,D
199,13090,Spa1,20,Villarreal,Espanyol,1,2,0,1,1720.0,3830.0,5220.0,1920,1980,3020,3005,3,1,A,A
200,13091,Spa1,20,Osasuna,Levante,2,0,0,0,1590.0,4130.0,6100.0,1600,2450,3007,3016,2,0,H,D
201,13092,Spa1,20,Espanyol,Bilbao,1,1,0,1,2550.0,2980.0,3280.0,2760,1490,3005,3008,2,1,D,A
202,13093,Spa1,20,FC Sevilla,Granada,2,0,2,0,1370.0,4810.0,10010.0,2050,1850,3013,3033,2,2,H,H
203,13094,Spa1,20,Valencia,Barcelona,2,0,0,0,5100.0,4010.0,1700.0,1640,2380,3019,3018,2,0,H,D
204,13095,Spa1,20,Alaves,Villarreal,1,2,0,1,2900.0,3310.0,2590.0,2050,1850,3021,3020,3,1,A,A
205,13096,Spa1,20,Atletico,Leganes,0,0,0,0,1570.0,3810.0,7270.0,2690,1510,3003,3067,0,0,D,D
206,13097,Spa1,20,Getafe,Betis,1,0,0,0,1980.0,3460.0,4220.0,2300,1680,3012,3002,1,0,H,D
207,13098,Spa1,20,Real Sociedad,Mallorca,3,0,0,0,1430.0,4690.0,8260.0,1880,2020,3015,3009,3,0,H,D
208,13099,Spa1,20,Celta Vigo,Eibar,0,0,0,0,1980.0,3470.0,4220.0,2260,1700,3022,3039,0,0,D,D
209,13100,Spa1,20,Valladolid,Real Madrid,0,1,0,0,7610.0,4460.0,1470.0,2130,1780,3028,3010,1,0,A,D
210,13101,Spa1,20,Mallorca,Valladolid,0,1,0,0,2400.0,3090.0,3420.0,2530,1570,3009,3028,1,0,A,D
211,13102,Spa1,20,Real Madrid,Atletico,1,0,0,0,1830.0,3420.0,5170.0,2530,1570,3010,3003,1,0,H,D
212,13103,Spa1,20,Valencia,Celta Vigo,1,0,0,0,1840.0,3540.0,4840.0,2040,1860,3019,3022,1,0,H,D
213,13104,Spa1,20,Granada,Espanyol,2,1,1,1,2860.0,2870.0,2980.0,3190,1390,3033,3005,3,2,H,D
214,13105,Spa1,20,Bilbao,Getafe,0,2,0,1,2330.0,2860.0,3930.0,3280,1370,3008,3012,2,1,A,A
215,13106,Spa1,20,FC Sevilla,Alaves,1,1,0,0,1350.0,4900.0,11300.0,2070,1830,3013,3021,2,0,D,D
216,13107,Spa1,20,Barcelona,Levante,2,1,2,0,1100.0,11520.0,25670.0,1220,4520,3018,3016,3,2,H,H
217,13108,Spa1,20,Villarreal,Osasuna,3,1,1,0,1700.0,4200.0,4770.0,1680,2300,3020,3007,4,1,H,H
218,13109,Spa1,20,Eibar,Betis,1,1,1,1,2700.0,3350.0,2740.0,2100,1800,3039,3002,2,2,D,D
219,13110,Spa1,20,Leganes,Real Sociedad,2,1,0,1,2500.0,3070.0,3250.0,2700,1510,3067,3015,3,1,H,A
220,13111,Spa1,20,Alaves,Eibar,2,1,0,0,2380.0,2950.0,3650.0,2950,1440,3021,3039,3,0,H,D
221,13112,Spa1,20,Atletico,Granada,1,0,1,0,1370.0,4650.0,11300.0,2280,1690,3003,3033,1,1,H,H
222,13113,Spa1,20,Getafe,Valencia,3,0,0,0,2050.0,3330.0,4120.0,2390,1630,3012,3019,3,0,H,D
223,13114,Spa1,20,Levante,Leganes,2,0,2,0,2550.0,3240.0,3010.0,2210,1720,3016,3067,2,2,H,H
224,13115,Spa1,20,Valladolid,Villarreal,1,1,1,0,3090.0,3340.0,2440.0,2110,1800,3028,3020,2,1,D,H
225,13116,Spa1,20,Betis,Barcelona,2,3,2,2,3930.0,3870.0,1930.0,1580,2500,3002,3018,5,4,A,D
226,13117,Spa1,20,Espanyol,Mallorca,1,0,0,0,1600.0,3920.0,6430.0,2100,1800,3005,3009,1,0,H,D
227,13118,Spa1,20,Osasuna,Real Madrid,1,4,1,2,5850.0,4360.0,1570.0,1760,2160,3007,3010,5,3,A,A
228,13119,Spa1,20,Real Sociedad,Bilbao,2,1,0,0,2080.0,3340.0,3980.0,2290,1680,3015,3008,3,0,H,D
229,13120,Spa1,20,Celta Vigo,FC Sevilla,2,1,0,1,2910.0,3130.0,2700.0,2140,1780,3022,3013,3,1,H,A
230,13121,Spa1,20,Valencia,Atletico,2,2,1,2,3280.0,3020.0,2510.0,2700,1510,3019,3003,4,3,D,A
231,13122,Spa1,20,Mallorca,Alaves,1,0,0,0,2690.0,3110.0,2930.0,2530,1570,3009,3021,1,0,H,D
232,13123,Spa1,20,Barcelona,Getafe,2,1,2,0,1380.0,4780.0,9720.0,1900,2000,3018,3012,3,2,H,H
233,13124,Spa1,20,Villarreal,Levante,2,1,1,0,1550.0,4750.0,5530.0,1400,3130,3020,3016,3,1,H,H
234,13125,Spa1,20,Granada,Valladolid,2,1,0,0,2470.0,2890.0,3540.0,3220,1380,3033,3028,3,0,H,D
235,13126,Spa1,20,Bilbao,Osasuna,0,1,0,1,1850.0,3380.0,5100.0,2540,1560,3008,3007,1,1,A,A
236,13127,Spa1,20,Real Madrid,Celta Vigo,2,2,0,1,1230.0,6700.0,13250.0,1510,2710,3010,3022,4,1,D,A
237,13128,Spa1,20,FC Sevilla,Espanyol,2,2,1,1,1500.0,4170.0,7840.0,2020,1880,3013,3005,4,2,D,D
238,13129,Spa1,20,Leganes,Betis,0,0,0,0,2540.0,3080.0,3170.0,2520,1570,3067,3002,0,0,D,D
239,13130,Spa1,20,Betis,Mallorca,3,3,2,2,1470.0,4620.0,7270.0,1750,2170,3002,3009,6,4,D,D
240,13131,Spa1,20,Real Sociedad,Valencia,3,0,2,0,1650.0,4370.0,4980.0,1680,2300,3015,3019,3,2,H,H
241,13132,Spa1,20,Levante,Real Madrid,1,0,0,0,7410.0,5370.0,1400.0,1450,2900,3016,3010,1,0,H,D
242,13133,Spa1,20,Barcelona,Eibar,5,0,3,0,1180.0,8030.0,17150.0,1430,2980,3018,3039,5,3,H,H
243,13134,Spa1,20,Celta Vigo,Leganes,1,0,0,0,1960.0,3150.0,4920.0,2910,1450,3022,3067,1,0,H,D
244,13135,Spa1,20,Atletico,Villarreal,3,1,1,1,1690.0,3710.0,5790.0,2070,1830,3003,3020,4,2,H,D
245,13136,Spa1,20,Osasuna,Granada,0,3,0,3,1950.0,3360.0,4540.0,2560,1560,3007,3033,3,3,A,A
246,13137,Spa1,20,Getafe,FC Sevilla,0,3,0,1,2600.0,3030.0,3130.0,2720,1500,3012,3013,3,1,A,A
247,13138,Spa1,20,Alaves,Bilbao,2,1,1,1,3440.0,2800.0,2590.0,3310,1360,3021,3008,3,2,H,D
248,13139,Spa1,20,Valladolid,Espanyol,2,1,0,0,2860.0,2850.0,3010.0,2880,1460,3028,3005,3,0,H,D
249,13140,Spa1,20,Real Sociedad,Valladolid,1,0,0,0,1520.0,4040.0,7720.0,2070,1830,3015,3028,1,0,H,D
250,13141,Spa1,20,Valencia,Betis,2,1,0,0,1990.0,3800.0,3750.0,1710,2240,3019,3002,3,0,H,D
251,13142,Spa1,20,Granada,Celta Vigo,0,0,0,0,3520.0,3160.0,2310.0,2550,1560,3033,3022,0,0,D,D
252,13143,Spa1,20,Eibar,Levante,3,0,1,0,1990.0,3730.0,3850.0,1830,2070,3039,3016,3,1,H,H
253,13144,Spa1,20,Leganes,Alaves,1,1,0,0,2270.0,2890.0,4060.0,3090,1410,3067,3021,2,0,D,D
254,13145,Spa1,20,Espanyol,Atletico,1,1,1,0,4300.0,3170.0,2060.0,2770,1490,3005,3003,2,1,D,H
255,13146,Spa1,20,Bilbao,Villarreal,1,0,0,0,2230.0,3390.0,3460.0,1990,1910,3008,3020,1,0,H,D
256,13147,Spa1,20,Mallorca,Getafe,0,1,0,0,3500.0,3070.0,2370.0,2570,1550,3009,3012,1,0,A,D
257,13148,Spa1,20,Real Madrid,Barcelona,2,0,0,0,2190.0,3730.0,3250.0,1610,2440,3010,3018,2,0,H,D
258,13149,Spa1,20,FC Sevilla,Osasuna,3,2,2,0,1460.0,4510.0,7740.0,1830,2070,3013,3007,5,2,H,H
259,13150,Spa1,20,Alaves,Valencia,1,1,0,1,2840.0,3190.0,2710.0,2080,1820,3021,3019,2,1,D,A
260,13151,Spa1,20,Atletico,FC Sevilla,2,2,2,2,2130.0,3080.0,4190.0,2490,1580,3003,3013,4,4,D,D
261,13152,Spa1,20,Getafe,Celta Vigo,0,0,0,0,1850.0,3320.0,5240.0,2870,1460,3012,3022,0,0,D,D
262,13153,Spa1,20,Barcelona,Real Sociedad,1,0,0,0,1350.0,5720.0,8480.0,1430,2970,3018,3015,1,0,H,D
263,13154,Spa1,20,Eibar,Mallorca,1,2,0,1,1860.0,3580.0,4610.0,2110,1790,3039,3009,3,1,A,A
264,13155,Spa1,20,Betis,Real Madrid,2,1,1,1,4280.0,4230.0,1780.0,1550,2570,3002,3010,3,2,H,D
265,13156,Spa1,20,Osasuna,Espanyol,1,0,0,0,2540.0,3250.0,3000.0,2200,1740,3007,3005,1,0,H,D
266,13157,Spa1,20,Levante,Granada,1,1,1,0,2140.0,3260.0,3860.0,2270,1690,3016,3033,2,1,D,H
267,13158,Spa1,20,Villarreal,Leganes,1,2,1,0,1820.0,3580.0,4900.0,2320,1670,3020,3067,3,1,A,H
