,index,League,Season,Home_Team,Away_Team,Home_Goals,Away_Goals,Home_FH,Away_FH,Home_Win,Draw,Away_Win,Over_2_5,Under_2_5,Code_1,Code_2,Total_Goals,FH_Goals,Winner,HT_Winner
1434,14325,Spa1,23,Almeria,Bilbao,1,2,0,1,5230.0,4070.0,1700.0,1860,2050,3027,3008,3,1,A,A
1435,14326,Spa1,23,Valladolid,Girona,1,0,1,0,2590.0,3390.0,2940.0,2060,1850,3028,3053,1,1,H,H
1436,14327,Spa1,23,Mallorca,Getafe,3,1,0,1,2760.0,2630.0,3570.0,4300,1250,3009,3012,4,1,H,A
1437,14328,Spa1,23,FC Sevilla,Villarreal,2,1,1,0,3030.0,3420.0,2500.0,2000,1900,3013,3020,3,1,H,H
1438,14329,Spa1,23,Barcelona,Atletico,1,0,1,0,2030.0,3430.0,4170.0,2180,1750,3018,3003,1,1,H,H
1439,14330,Spa1,23,Elche,Valencia,0,2,0,2,4460.0,3610.0,1920.0,2170,1760,3040,3019,2,2,A,A
1440,14331,Spa1,23,Betis,Real Sociedad,0,0,0,0,2900.0,3190.0,2760.0,2520,1580,3002,3015,0,0,D,D
1441,14332,Spa1,23,Cadiz,Osasuna,0,1,0,0,2110.0,3220.0,4190.0,2640,1540,3023,3007,1,0,A,D
1442,14333,Spa1,23,Girona,Real Madrid,4,2,2,1,4790.0,4300.0,1700.0,1610,2460,3053,3010,6,3,H,H
1443,14334,Spa1,23,Atletico,Mallorca,3,1,1,1,1350.0,4750.0,12500.0,2180,1760,3003,3009,4,2,H,D
1444,14335,Spa1,23,Getafe,Almeria,1,2,0,1,1880.0,3510.0,4810.0,2310,1680,3012,3027,3,1,A,A
1445,14336,Spa1,23,Celta Vigo,Elche,1,0,0,0,1370.0,5290.0,9150.0,1780,2140,3022,3040,1,0,H,D
1446,14337,Spa1,23,Vallecano,Barcelona,2,1,1,0,5200.0,3900.0,1730.0,1980,1930,3034,3018,3,1,H,H
1447,14338,Spa1,23,Bilbao,FC Sevilla,0,1,0,0,1810.0,3700.0,4920.0,2120,1790,3008,3013,1,0,A,D
1448,14339,Spa1,23,Valencia,Valladolid,2,1,0,1,1700.0,3910.0,5400.0,1990,1910,3019,3028,3,1,H,A
1449,14340,Spa1,23,Villarreal,Espanyol,4,2,0,1,1550.0,4520.0,6160.0,1720,2220,3020,3005,6,1,H,A
1450,14341,Spa1,23,Osasuna,Real Sociedad,0,2,0,1,3910.0,3070.0,2270.0,2920,1460,3007,3015,2,1,A,A
1451,14342,Spa1,23,Real Madrid,Almeria,4,2,3,1,1150.0,9500.0,17000.0,1330,3410,3010,3027,6,4,H,H
1452,14343,Spa1,23,Barcelona,Betis,4,0,3,0,1410.0,5210.0,7950.0,1660,2350,3018,3002,4,3,H,H
1453,14344,Spa1,23,Elche,Vallecano,4,0,1,0,4210.0,3550.0,1980.0,2220,1730,3040,3034,4,1,H,H
1454,14345,Spa1,23,Espanyol,Getafe,1,0,1,0,2510.0,2990.0,3450.0,2860,1470,3005,3012,1,1,H,H
1455,14346,Spa1,23,Villarreal,Celta Vigo,3,1,2,1,1680.0,4060.0,5490.0,1830,2070,3020,3022,4,3,H,H
1456,14347,Spa1,23,Cadiz,Valencia,2,1,1,0,3160.0,3000.0,2690.0,2790,1490,3023,3019,3,1,H,H
1457,14348,Spa1,23,Valladolid,Atletico,2,5,1,3,5400.0,4080.0,1680.0,1850,2070,3028,3003,7,4,A,A
1458,14349,Spa1,23,Mallorca,Bilbao,1,1,0,0,3280.0,2830.0,2750.0,3220,1380,3009,3008,2,0,D,D
1459,14350,Spa1,23,FC Sevilla,Girona,0,2,0,1,1940.0,3600.0,4360.0,2050,1860,3013,3053,2,1,A,A
1460,14351,Spa1,23,Real Sociedad,Real Madrid,2,0,0,0,2570.0,3220.0,3100.0,2290,1690,3015,3010,2,0,H,D
1461,14352,Spa1,23,Barcelona,Osasuna,1,0,0,0,1170.0,8250.0,18500.0,1430,2900,3018,3007,1,0,H,D
1462,14353,Spa1,23,Almeria,Elche,2,1,1,0,1730.0,4050.0,4940.0,1670,2300,3027,3040,3,1,H,H
1463,14354,Spa1,23,Atletico,Cadiz,5,1,2,0,1260.0,6390.0,12300.0,1650,2340,3003,3023,6,2,H,H
1464,14355,Spa1,23,Getafe,Celta Vigo,1,0,1,0,2760.0,3000.0,3060.0,2870,1470,3012,3022,1,1,H,H
1465,14356,Spa1,23,Valencia,Villarreal,1,1,0,0,2620.0,3390.0,2870.0,1940,1960,3019,3020,2,0,D,D
1466,14357,Spa1,23,Bilbao,Betis,0,1,0,1,1670.0,3980.0,5720.0,2020,1890,3008,3002,1,1,A,A
1467,14358,Spa1,23,FC Sevilla,Espanyol,3,2,1,2,1890.0,3740.0,4400.0,1980,1930,3013,3005,5,3,H,A
1468,14359,Spa1,23,Vallecano,Valladolid,2,1,0,0,1970.0,3580.0,4210.0,2100,1810,3034,3028,3,0,H,D
1469,14360,Spa1,23,Girona,Mallorca,2,1,1,0,1910.0,3380.0,4910.0,2520,1580,3053,3009,3,1,H,H
1470,14361,Spa1,23,Mallorca,Cadiz,1,0,1,0,2250.0,2910.0,4260.0,3100,1410,3009,3023,1,1,H,H
1471,14362,Spa1,23,Osasuna,Almeria,3,1,0,0,1890.0,3900.0,4190.0,1760,2170,3007,3027,4,0,H,D
1472,14363,Spa1,23,Real Madrid,Getafe,1,0,0,0,1600.0,4110.0,6320.0,2010,1900,3010,3012,1,0,H,D
1473,14364,Spa1,23,Real Sociedad,Girona,2,2,2,2,1610.0,3960.0,6510.0,2190,1750,3015,3053,4,4,D,D
1474,14365,Spa1,23,Villarreal,Bilbao,5,1,2,1,2180.0,3700.0,3420.0,1790,2120,3020,3008,6,3,H,H
1475,14366,Spa1,23,Espanyol,Barcelona,2,4,0,3,6400.0,4530.0,1540.0,1750,2190,3005,3018,6,3,A,A
1476,14367,Spa1,23,Celta Vigo,Valencia,1,2,0,1,2270.0,3360.0,3520.0,2140,1780,3022,3019,3,1,A,A
1477,14368,Spa1,23,Valladolid,FC Sevilla,0,3,0,0,2510.0,3430.0,3010.0,2080,1840,3028,3013,3,0,A,D
1478,14369,Spa1,23,Elche,Atletico,1,0,1,0,7240.0,5130.0,1440.0,1570,2530,3040,3003,1,1,H,H
1479,14370,Spa1,23,Betis,Vallecano,3,1,2,0,2180.0,3460.0,3650.0,2090,1820,3002,3034,4,2,H,H
1480,14371,Spa1,23,Cadiz,Valladolid,2,0,0,0,2210.0,3540.0,3490.0,2010,1890,3023,3028,2,0,H,D
1481,14372,Spa1,23,Bilbao,Celta Vigo,2,1,1,0,1650.0,3970.0,5950.0,2030,1880,3008,3022,3,1,H,H
1482,14373,Spa1,23,Getafe,Elche,1,1,1,1,1680.0,3770.0,5890.0,2300,1670,3012,3040,2,2,D,D
1483,14374,Spa1,23,Barcelona,Real Sociedad,1,2,0,1,1760.0,3860.0,4940.0,2000,1880,3018,3015,3,1,A,A
1484,14375,Spa1,23,Almeria,Mallorca,3,0,2,0,2230.0,3360.0,3610.0,2180,1750,3027,3009,3,2,H,H
1485,14376,Spa1,23,Girona,Villarreal,1,2,1,1,2530.0,3900.0,2700.0,1550,2610,3053,3020,3,2,A,D
1486,14377,Spa1,23,Atletico,Osasuna,3,0,1,0,1510.0,4700.0,6770.0,1660,2340,3003,3007,3,1,H,H
1487,14378,Spa1,23,FC Sevilla,Betis,0,0,0,0,2110.0,3540.0,3770.0,2000,1900,3013,3002,0,0,D,D
1488,14379,Spa1,23,Valencia,Real Madrid,1,0,1,0,3240.0,3720.0,2250.0,1730,2220,3019,3010,1,1,H,H
1489,14380,Spa1,23,Vallecano,Espanyol,1,2,1,1,1880.0,3680.0,4560.0,2100,1810,3034,3005,3,2,A,D
1490,14381,Spa1,23,Real Sociedad,Almeria,1,0,1,0,1400.0,4980.0,8840.0,1620,2420,3015,3027,1,1,H,H
1491,14382,Spa1,23,Celta Vigo,Girona,1,1,1,0,2120.0,3540.0,3720.0,2060,1850,3022,3053,2,1,D,H
1492,14383,Spa1,23,Valladolid,Barcelona,3,1,2,0,3680.0,3910.0,2000.0,1640,2350,3028,3018,4,2,H,H
1493,14384,Spa1,23,Betis,Getafe,0,1,0,0,2310.0,3010.0,3720.0,2760,1470,3002,3012,1,0,A,D
