Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	600
Conversion Gain:	4096
Coarse Gain:	1
Fine Gain:	1.00
Upper Discriminator:	60567
Lower Discriminator:	839
Calibration Coefficients:	59.5625	14.4375
Calibration Channels:	97	177
Calibration Energies:	1460.0	2615.0
Elapsed Real Time:	670234.4
Elapsed Live Time:	670186.76
Start Time:	February 20, 2020, 06:04:09
End Time:	February 20, 2020, 06:03:30
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
293	4289.75	567
294	4304.1875	522
295	4318.625	508
296	4333.0625	508
297	4347.5	555
298	4361.9375	548
299	4376.375	502
300	4390.8125	451
301	4405.25	504
302	4419.6875	507
303	4434.125	510
304	4448.5625	513
305	4463.0	434
306	4477.4375	497
307	4491.875	508
308	4506.3125	451
309	4520.75	506
310	4535.1875	500
311	4549.625	524
312	4564.0625	504
313	4578.5	475
314	4592.9375	486
315	4607.375	467
316	4621.8125	453
317	4636.25	485
318	4650.6875	429
319	4665.125	466
320	4679.5625	473
321	4694.0	456
322	4708.4375	477
323	4722.875	481
324	4737.3125	483
325	4751.75	443
326	4766.1875	460
327	4780.625	490
328	4795.0625	447
329	4809.5	465
330	4823.9375	451
331	4838.375	452
332	4852.8125	459
333	4867.25	422
334	4881.6875	438
335	4896.125	488
336	4910.5625	448
337	4925.0	512
338	4939.4375	452
339	4953.875	443
340	4968.3125	482
341	4982.75	465
342	4997.1875	454
343	5011.625	459
344	5026.0625	461
345	5040.5	442
346	5054.9375	408
347	5069.375	435
348	5083.8125	431
349	5098.25	442
350	5112.6875	414
351	5127.125	461
352	5141.5625	439
353	5156.0	463
354	5170.4375	458
355	5184.875	450
356	5199.3125	425
357	5213.75	395
358	5228.1875	409
359	5242.625	413
360	5257.0625	417
361	5271.5	430
362	5285.9375	413
363	5300.375	441
364	5314.8125	453
365	5329.25	399
366	5343.6875	452
367	5358.125	416
368	5372.5625	409
369	5387.0	441
370	5401.4375	432
371	5415.875	413
372	5430.3125	419
373	5444.75	406
374	5459.1875	403
375	5473.625	453
376	5488.0625	429
377	5502.5	427
378	5516.9375	394
379	5531.375	411
380	5545.8125	392
381	5560.25	390
382	5574.6875	388
383	5589.125	393
384	5603.5625	405
385	5618.0	374
386	5632.4375	396
387	5646.875	392
388	5661.3125	355
389	5675.75	375
390	5690.1875	380
391	5704.625	382
392	5719.0625	387
393	5733.5	398
394	5747.9375	425
395	5762.375	397
396	5776.8125	397
397	5791.25	379
398	5805.6875	393
399	5820.125	415
400	5834.5625	378
401	5849.0	384
402	5863.4375	356
403	5877.875	379
404	5892.3125	377
405	5906.75	395
406	5921.1875	355
407	5935.625	359
408	5950.0625	401
409	5964.5	384
410	5978.9375	371
411	5993.375	378
412	6007.8125	345
413	6022.25	399
414	6036.6875	410
415	6051.125	387
416	6065.5625	379
417	6080.0	397
418	6094.4375	374
419	6108.875	386
420	6123.3125	418
421	6137.75	365
422	6152.1875	336
423	6166.625	387
424	6181.0625	391
425	6195.5	361
426	6209.9375	349
427	6224.375	374
428	6238.8125	396
429	6253.25	393
430	6267.6875	362
431	6282.125	384
432	6296.5625	355
433	6311.0	367
434	6325.4375	387
435	6339.875	367
436	6354.3125	408
437	6368.75	399
438	6383.1875	382
439	6397.625	361
440	6412.0625	381
441	6426.5	368
442	6440.9375	361
443	6455.375	357
444	6469.8125	352
445	6484.25	375
446	6498.6875	365
447	6513.125	371
448	6527.5625	386
449	6542.0	384
450	6556.4375	365
451	6570.875	393
452	6585.3125	350
453	6599.75	365
454	6614.1875	359
455	6628.625	369
456	6643.0625	377
457	6657.5	334
458	6671.9375	348
459	6686.375	357
460	6700.8125	361
461	6715.25	362
462	6729.6875	363
463	6744.125	348
464	6758.5625	325
465	6773.0	395
466	6787.4375	349
467	6801.875	329
468	6816.3125	322
469	6830.75	354
470	6845.1875	386
471	6859.625	362
472	6874.0625	343
473	6888.5	353
474	6902.9375	366
475	6917.375	340
476	6931.8125	346
477	6946.25	366
478	6960.6875	309
479	6975.125	322
480	6989.5625	350
481	7004.0	338
482	7018.4375	347
483	7032.875	355
484	7047.3125	349
485	7061.75	335
486	7076.1875	326
487	7090.625	310
488	7105.0625	344
489	7119.5	363
490	7133.9375	360
491	7148.375	361
492	7162.8125	344
493	7177.25	350
494	7191.6875	345
495	7206.125	357
496	7220.5625	340
497	7235.0	375
498	7249.4375	348
499	7263.875	336
500	7278.3125	352
501	7292.75	357
502	7307.1875	335
503	7321.625	318
504	7336.0625	328
505	7350.5	340
506	7364.9375	314
507	7379.375	322
508	7393.8125	324
509	7408.25	345
510	7422.6875	362
511	7437.125	307
512	7451.5625	335
513	7466.0	344
514	7480.4375	337
515	7494.875	328
516	7509.3125	329
517	7523.75	324
518	7538.1875	320
519	7552.625	328
520	7567.0625	306
521	7581.5	342
522	7595.9375	331
523	7610.375	320
524	7624.8125	349
525	7639.25	330
526	7653.6875	330
527	7668.125	352
528	7682.5625	314
529	7697.0	341
530	7711.4375	319
531	7725.875	348
532	7740.3125	316
533	7754.75	309
534	7769.1875	292
535	7783.625	313
536	7798.0625	320
537	7812.5	310
538	7826.9375	346
539	7841.375	312
540	7855.8125	318
541	7870.25	300
542	7884.6875	332
543	7899.125	304
544	7913.5625	317
545	7928.0	319
546	7942.4375	306
547	7956.875	327
548	7971.3125	287
549	7985.75	306
550	8000.1875	310
551	8014.625	314
552	8029.0625	317
553	8043.5	274
554	8057.9375	333
555	8072.375	334
556	8086.8125	324
557	8101.25	324
558	8115.6875	312
559	8130.125	325
560	8144.5625	354
561	8159.0	275
562	8173.4375	310
563	8187.875	278
564	8202.3125	327
565	8216.75	295
566	8231.1875	296
567	8245.625	286
568	8260.0625	310
569	8274.5	321
570	8288.9375	328
571	8303.375	294
572	8317.8125	319
573	8332.25	307
574	8346.6875	306
575	8361.125	325
576	8375.5625	343
577	8390.0	289
578	8404.4375	287
579	8418.875	276
580	8433.3125	352
581	8447.75	312
582	8462.1875	299
583	8476.625	298
584	8491.0625	306
585	8505.5	303
586	8519.9375	328
587	8534.375	322
588	8548.8125	326
589	8563.25	317
590	8577.6875	299
591	8592.125	303
592	8606.5625	280
593	8621.0	280
594	8635.4375	291
595	8649.875	298
596	8664.3125	280
597	8678.75	302
598	8693.1875	327
599	8707.625	292
600	8722.0625	305
601	8736.5	318
602	8750.9375	325
603	8765.375	292
604	8779.8125	325
605	8794.25	289
606	8808.6875	296
607	8823.125	303
608	8837.5625	310
609	8852.0	307
610	8866.4375	302
611	8880.875	271
612	8895.3125	291
613	8909.75	292
614	8924.1875	279
615	8938.625	308
616	8953.0625	267
617	8967.5	295
618	8981.9375	274
619	8996.375	302
620	9010.8125	276
621	9025.25	264
622	9039.6875	283
623	9054.125	320
624	9068.5625	298
625	9083.0	319
626	9097.4375	312
627	9111.875	287
628	9126.3125	286
629	9140.75	311
630	9155.1875	298
631	9169.625	301
632	9184.0625	264
633	9198.5	288
634	9212.9375	285
635	9227.375	319
636	9241.8125	307
637	9256.25	300
638	9270.6875	252
639	9285.125	259
640	9299.5625	273
641	9314.0	287
642	9328.4375	285
643	9342.875	269
644	9357.3125	278
645	9371.75	278
646	9386.1875	308
647	9400.625	293
648	9415.0625	287
649	9429.5	267
650	9443.9375	293
651	9458.375	294
652	9472.8125	290
653	9487.25	272
654	9501.6875	284
655	9516.125	294
656	9530.5625	289
657	9545.0	283
658	9559.4375	279
659	9573.875	308
660	9588.3125	294
661	9602.75	284
662	9617.1875	266
663	9631.625	281
664	9646.0625	310
665	9660.5	297
666	9674.9375	260
667	9689.375	269
668	9703.8125	293
669	9718.25	304
670	9732.6875	297
671	9747.125	266
672	9761.5625	298
673	9776.0	259
674	9790.4375	280
675	9804.875	285
676	9819.3125	290
677	9833.75	294
678	9848.1875	288
679	9862.625	313
680	9877.0625	263
681	9891.5	267
682	9905.9375	291
683	9920.375	284
684	9934.8125	272
685	9949.25	277
686	9963.6875	273
687	9978.125	252
688	9992.5625	277
689	10007.0	262
690	10021.4375	270
691	10035.875	264
692	10050.3125	277
693	10064.75	283
694	10079.1875	298
695	10093.625	283
696	10108.0625	275
697	10122.5	279
698	10136.9375	256
699	10151.375	278
700	10165.8125	292
701	10180.25	271
702	10194.6875	325
703	10209.125	281
704	10223.5625	320
705	10238.0	271
706	10252.4375	281
707	10266.875	271
708	10281.3125	254
709	10295.75	302
710	10310.1875	246
711	10324.625	274
712	10339.0625	267
713	10353.5	277
714	10367.9375	266
715	10382.375	269
716	10396.8125	272
717	10411.25	288
718	10425.6875	273
719	10440.125	254
720	10454.5625	279
721	10469.0	274
722	10483.4375	284
723	10497.875	262
724	10512.3125	254
725	10526.75	256
726	10541.1875	253
727	10555.625	298
728	10570.0625	283
729	10584.5	266
730	10598.9375	264
731	10613.375	256
732	10627.8125	254
733	10642.25	275
734	10656.6875	282
735	10671.125	292
736	10685.5625	294
737	10700.0	269
738	10714.4375	257
739	10728.875	314
740	10743.3125	309
741	10757.75	298
742	10772.1875	274
743	10786.625	247
744	10801.0625	266
745	10815.5	249
746	10829.9375	285
747	10844.375	257
748	10858.8125	287
749	10873.25	265
750	10887.6875	248
751	10902.125	235
752	10916.5625	281
753	10931.0	258
754	10945.4375	256
755	10959.875	251
756	10974.3125	281
757	10988.75	276
758	11003.1875	261
759	11017.625	300
760	11032.0625	267
761	11046.5	296
762	11060.9375	272
763	11075.375	278
764	11089.8125	238
765	11104.25	270
766	11118.6875	274
767	11133.125	244
768	11147.5625	239
769	11162.0	284
770	11176.4375	243
771	11190.875	275
772	11205.3125	263
773	11219.75	259
774	11234.1875	269
775	11248.625	302
776	11263.0625	260
777	11277.5	288
778	11291.9375	300
779	11306.375	263
780	11320.8125	281
781	11335.25	259
782	11349.6875	275
783	11364.125	300
784	11378.5625	246
785	11393.0	259
786	11407.4375	254
787	11421.875	278
788	11436.3125	274
789	11450.75	287
790	11465.1875	261
791	11479.625	257
792	11494.0625	264
793	11508.5	288
794	11522.9375	246
795	11537.375	269
796	11551.8125	273
797	11566.25	280
798	11580.6875	273
799	11595.125	254
800	11609.5625	286
801	11624.0	324
802	11638.4375	271
803	11652.875	251
804	11667.3125	244
805	11681.75	266
806	11696.1875	259
807	11710.625	267
808	11725.0625	242
809	11739.5	250
810	11753.9375	238
811	11768.375	272
812	11782.8125	287
813	11797.25	267
814	11811.6875	270
815	11826.125	284
816	11840.5625	266
817	11855.0	252
818	11869.4375	287
819	11883.875	277
820	11898.3125	262
821	11912.75	245
822	11927.1875	255
823	11941.625	272
824	11956.0625	237
825	11970.5	243
826	11984.9375	265
827	11999.375	259
828	12013.8125	256
829	12028.25	300
830	12042.6875	267
831	12057.125	277
832	12071.5625	242
833	12086.0	280
834	12100.4375	238
835	12114.875	265
836	12129.3125	244
837	12143.75	306
838	12158.1875	244
839	12172.625	277
840	12187.0625	278
841	12201.5	272
842	12215.9375	248
843	12230.375	257
844	12244.8125	252
845	12259.25	265
846	12273.6875	263
847	12288.125	245
848	12302.5625	278
849	12317.0	272
850	12331.4375	277
851	12345.875	257
852	12360.3125	244
853	12374.75	273
854	12389.1875	251
855	12403.625	274
856	12418.0625	252
857	12432.5	222
858	12446.9375	261
859	12461.375	255
860	12475.8125	238
861	12490.25	260
862	12504.6875	267
863	12519.125	211
864	12533.5625	281
865	12548.0	247
866	12562.4375	285
867	12576.875	253
868	12591.3125	250
869	12605.75	212
870	12620.1875	237
871	12634.625	242
872	12649.0625	256
873	12663.5	268
874	12677.9375	229
875	12692.375	271
876	12706.8125	272
877	12721.25	251
878	12735.6875	274
879	12750.125	242
880	12764.5625	260
881	12779.0	256
882	12793.4375	225
883	12807.875	250
884	12822.3125	278
885	12836.75	277
886	12851.1875	287
887	12865.625	281
888	12880.0625	257
889	12894.5	262
890	12908.9375	270
891	12923.375	268
892	12937.8125	268
893	12952.25	246
894	12966.6875	240
895	12981.125	244
896	12995.5625	257
897	13010.0	266
898	13024.4375	286
899	13038.875	247
900	13053.3125	255
901	13067.75	296
902	13082.1875	265
903	13096.625	257
904	13111.0625	253
905	13125.5	275
906	13139.9375	274
907	13154.375	275
908	13168.8125	238
909	13183.25	254
910	13197.6875	245
911	13212.125	296
912	13226.5625	248
913	13241.0	264
914	13255.4375	246
915	13269.875	256
916	13284.3125	250
917	13298.75	291
918	13313.1875	257
919	13327.625	246
920	13342.0625	272
921	13356.5	258
922	13370.9375	217
923	13385.375	237
924	13399.8125	255
925	13414.25	263
926	13428.6875	260
927	13443.125	272
928	13457.5625	243
929	13472.0	277
930	13486.4375	253
931	13500.875	237
932	13515.3125	258
933	13529.75	249
934	13544.1875	264
935	13558.625	237
936	13573.0625	269
937	13587.5	239
938	13601.9375	238
939	13616.375	282
940	13630.8125	262
941	13645.25	232
942	13659.6875	266
943	13674.125	250
944	13688.5625	248
945	13703.0	243
946	13717.4375	243
947	13731.875	261
948	13746.3125	237
949	13760.75	254
950	13775.1875	238
951	13789.625	260
952	13804.0625	265
953	13818.5	288
954	13832.9375	271
955	13847.375	276
956	13861.8125	264
957	13876.25	274
958	13890.6875	270
959	13905.125	261
960	13919.5625	244
961	13934.0	284
962	13948.4375	219
963	13962.875	242
964	13977.3125	233
965	13991.75	294
966	14006.1875	255
967	14020.625	246
968	14035.0625	254
969	14049.5	272
970	14063.9375	264
971	14078.375	278
972	14092.8125	261
973	14107.25	271
974	14121.6875	263
975	14136.125	234
976	14150.5625	228
977	14165.0	261
978	14179.4375	278
979	14193.875	251
980	14208.3125	250
981	14222.75	260
982	14237.1875	244
983	14251.625	266
984	14266.0625	244
985	14280.5	250
986	14294.9375	256
987	14309.375	253
988	14323.8125	254
989	14338.25	268
990	14352.6875	279
991	14367.125	263
992	14381.5625	245
993	14396.0	255
994	14410.4375	259
995	14424.875	273
996	14439.3125	268
997	14453.75	264
998	14468.1875	251
999	14482.625	251
1000	14497.0625	272
1001	14511.5	250
1002	14525.9375	248
1003	14540.375	257
1004	14554.8125	271
1005	14569.25	237
1006	14583.6875	283
1007	14598.125	270
1008	14612.5625	270
1009	14627.0	254
1010	14641.4375	249
1011	14655.875	250
1012	14670.3125	276
1013	14684.75	262
1014	14699.1875	247
1015	14713.625	244
1016	14728.0625	270
1017	14742.5	253
1018	14756.9375	269
1019	14771.375	281
1020	14785.8125	269
1021	14800.25	243
1022	14814.6875	261
1023	14829.125	248
1024	14843.5625	276
1025	14858.0	259
1026	14872.4375	281
1027	14886.875	287
1028	14901.3125	262
1029	14915.75	252
1030	14930.1875	273
1031	14944.625	268
1032	14959.0625	235
1033	14973.5	262
1034	14987.9375	275
1035	15002.375	270
1036	15016.8125	254
1037	15031.25	285
1038	15045.6875	278
1039	15060.125	270
1040	15074.5625	264
1041	15089.0	295
1042	15103.4375	269
1043	15117.875	250
1044	15132.3125	280
1045	15146.75	294
1046	15161.1875	280
1047	15175.625	269
1048	15190.0625	264
1049	15204.5	240
1050	15218.9375	287
1051	15233.375	260
1052	15247.8125	222
1053	15262.25	294
1054	15276.6875	277
1055	15291.125	276
1056	15305.5625	272
1057	15320.0	276
1058	15334.4375	249
1059	15348.875	283
1060	15363.3125	263
1061	15377.75	292
1062	15392.1875	257
1063	15406.625	241
1064	15421.0625	269
1065	15435.5	288
1066	15449.9375	258
1067	15464.375	285
1068	15478.8125	223
1069	15493.25	244
1070	15507.6875	270
1071	15522.125	293
1072	15536.5625	287
1073	15551.0	249
1074	15565.4375	269
1075	15579.875	269
1076	15594.3125	270
1077	15608.75	267
1078	15623.1875	249
1079	15637.625	278
1080	15652.0625	264
1081	15666.5	302
1082	15680.9375	284
1083	15695.375	243
1084	15709.8125	289
1085	15724.25	261
1086	15738.6875	281
1087	15753.125	261
1088	15767.5625	288
1089	15782.0	301
1090	15796.4375	283
1091	15810.875	269
1092	15825.3125	278
1093	15839.75	256
1094	15854.1875	271
1095	15868.625	293
1096	15883.0625	266
1097	15897.5	279
1098	15911.9375	264
1099	15926.375	258
1100	15940.8125	272
1101	15955.25	246
1102	15969.6875	276
1103	15984.125	265
1104	15998.5625	283
1105	16013.0	280
1106	16027.4375	242
1107	16041.875	251
1108	16056.3125	291
1109	16070.75	269
1110	16085.1875	276
1111	16099.625	266
1112	16114.0625	258
1113	16128.5	285
1114	16142.9375	276
1115	16157.375	311
1116	16171.8125	263
1117	16186.25	262
1118	16200.6875	265
1119	16215.125	262
1120	16229.5625	295
1121	16244.0	243
1122	16258.4375	264
1123	16272.875	253
1124	16287.3125	274
1125	16301.75	296
1126	16316.1875	261
1127	16330.625	265
1128	16345.0625	246
1129	16359.5	268
1130	16373.9375	262
1131	16388.375	246
1132	16402.8125	286
1133	16417.25	261
1134	16431.6875	265
1135	16446.125	268
1136	16460.5625	267
1137	16475.0	272
1138	16489.4375	272
1139	16503.875	227
1140	16518.3125	246
1141	16532.75	285
1142	16547.1875	301
1143	16561.625	264
1144	16576.0625	244
1145	16590.5	236
1146	16604.9375	275
1147	16619.375	262
1148	16633.8125	272
1149	16648.25	261
1150	16662.6875	254
1151	16677.125	248
1152	16691.5625	264
1153	16706.0	268
1154	16720.4375	250
1155	16734.875	244
1156	16749.3125	259
1157	16763.75	277
1158	16778.1875	273
1159	16792.625	299
1160	16807.0625	256
1161	16821.5	249
1162	16835.9375	274
1163	16850.375	257
1164	16864.8125	270
1165	16879.25	270
1166	16893.6875	236
1167	16908.125	274
1168	16922.5625	257
1169	16937.0	283
1170	16951.4375	275
1171	16965.875	261
1172	16980.3125	254
1173	16994.75	237
1174	17009.1875	232
1175	17023.625	289
1176	17038.0625	268
1177	17052.5	279
1178	17066.9375	257
1179	17081.375	268
1180	17095.8125	262
1181	17110.25	264
1182	17124.6875	268
1183	17139.125	219
1184	17153.5625	241
1185	17168.0	283
1186	17182.4375	263
1187	17196.875	256
1188	17211.3125	254
1189	17225.75	286
1190	17240.1875	248
1191	17254.625	256
1192	17269.0625	268
1193	17283.5	283
1194	17297.9375	252
1195	17312.375	270
1196	17326.8125	246
1197	17341.25	280
1198	17355.6875	269
1199	17370.125	261
1200	17384.5625	248
1201	17399.0	253
1202	17413.4375	260
1203	17427.875	276
1204	17442.3125	250
1205	17456.75	262
1206	17471.1875	249
1207	17485.625	233
1208	17500.0625	276
1209	17514.5	256
1210	17528.9375	268
1211	17543.375	240
1212	17557.8125	264
1213	17572.25	244
1214	17586.6875	248
1215	17601.125	247
1216	17615.5625	247
1217	17630.0	251
1218	17644.4375	255
1219	17658.875	236
1220	17673.3125	267
1221	17687.75	218
1222	17702.1875	243
1223	17716.625	258
1224	17731.0625	256
1225	17745.5	237
1226	17759.9375	265
1227	17774.375	271
1228	17788.8125	239
1229	17803.25	240
1230	17817.6875	234
1231	17832.125	263
1232	17846.5625	247
1233	17861.0	271
1234	17875.4375	283
1235	17889.875	288
1236	17904.3125	272
1237	17918.75	229
1238	17933.1875	265
1239	17947.625	236
1240	17962.0625	266
1241	17976.5	245
1242	17990.9375	243
1243	18005.375	239
1244	18019.8125	269
1245	18034.25	287
1246	18048.6875	219
1247	18063.125	259
1248	18077.5625	272
1249	18092.0	240
1250	18106.4375	232
1251	18120.875	251
1252	18135.3125	256
1253	18149.75	254
1254	18164.1875	261
1255	18178.625	238
1256	18193.0625	280
1257	18207.5	212
1258	18221.9375	248
1259	18236.375	245
1260	18250.8125	259
1261	18265.25	230
1262	18279.6875	232
1263	18294.125	242
1264	18308.5625	252
1265	18323.0	224
1266	18337.4375	228
1267	18351.875	244
1268	18366.3125	220
1269	18380.75	245
1270	18395.1875	244
1271	18409.625	250
1272	18424.0625	226
1273	18438.5	262
1274	18452.9375	226
1275	18467.375	228
1276	18481.8125	244
1277	18496.25	237
1278	18510.6875	252
1279	18525.125	215
1280	18539.5625	239
1281	18554.0	213
1282	18568.4375	228
1283	18582.875	217
1284	18597.3125	244
1285	18611.75	210
1286	18626.1875	233
1287	18640.625	234
1288	18655.0625	222
1289	18669.5	240
1290	18683.9375	218
1291	18698.375	225
1292	18712.8125	264
1293	18727.25	231
1294	18741.6875	249
1295	18756.125	219
1296	18770.5625	224
1297	18785.0	218
1298	18799.4375	217
1299	18813.875	213
1300	18828.3125	212
1301	18842.75	240
1302	18857.1875	213
1303	18871.625	241
1304	18886.0625	240
1305	18900.5	231
1306	18914.9375	215
1307	18929.375	258
1308	18943.8125	219
1309	18958.25	267
1310	18972.6875	205
1311	18987.125	240
1312	19001.5625	213
1313	19016.0	220
1314	19030.4375	220
1315	19044.875	208
1316	19059.3125	216
1317	19073.75	253
1318	19088.1875	247
1319	19102.625	207
1320	19117.0625	213
1321	19131.5	211
1322	19145.9375	220
1323	19160.375	221
1324	19174.8125	236
1325	19189.25	240
1326	19203.6875	223
1327	19218.125	223
1328	19232.5625	230
1329	19247.0	242
1330	19261.4375	215
1331	19275.875	234
1332	19290.3125	217
1333	19304.75	204
1334	19319.1875	223
1335	19333.625	214
1336	19348.0625	230
1337	19362.5	212
1338	19376.9375	214
1339	19391.375	219
1340	19405.8125	228
1341	19420.25	221
1342	19434.6875	229
1343	19449.125	201
1344	19463.5625	213
1345	19478.0	213
1346	19492.4375	207
1347	19506.875	215
1348	19521.3125	203
1349	19535.75	211
1350	19550.1875	198
1351	19564.625	218
1352	19579.0625	197
1353	19593.5	228
1354	19607.9375	227
1355	19622.375	199
1356	19636.8125	196
1357	19651.25	189
1358	19665.6875	185
1359	19680.125	232
